# technique: ADT
# step_index: 1
# timestamp: 2026-03-23T21:06:24.443036
# data_points: 2500
# param_seg_num: 1
# param_sample_interval_ms: 100
# param_elapsed_time: 48.5s
# param_ir_compensation_enabled: False
# param_ir_compensation_ohm: 0
Time/sec,Current/A,cycle
6.09,3.687,2
6.1,3.687,2
6.109999999999999,3.687,2
6.119999999999999,3.687,2
6.13,3.687,2
6.14,3.687,2
6.1499999999999995,3.687,2
6.159999999999999,3.687,2
6.17,3.687,2
6.18,3.687,2
6.1899999999999995,3.687,2
6.199999999999999,3.687,2
6.209999999999999,3.687,2
6.22,3.687,2
6.2299999999999995,3.687,2
6.239999999999999,3.687,2
6.25,3.687,2
6.26,3.687,2
6.27,3.687,2
6.279999999999999,3.687,2
6.289999999999999,3.687,2
6.3,3.687,2
6.31,3.687,2
6.319999999999999,3.687,2
6.33,3.687,2
6.34,3.687,2
6.35,3.687,2
6.359999999999999,3.687,2
6.369999999999999,3.687,2
6.38,3.687,2
6.39,3.687,2
6.3999999999999995,3.687,2
6.409999999999999,3.687,2
6.42,3.687,2
6.43,3.687,2
6.4399999999999995,3.687,2
6.449999999999999,3.687,2
6.459999999999999,3.687,2
6.47,3.687,2
6.4799999999999995,3.687,2
6.489999999999999,3.687,2
6.5,3.687,2
6.51,3.687,2
6.52,3.687,2
6.529999999999999,3.687,2
6.539999999999999,3.687,2
6.55,3.687,2
6.56,3.687,2
6.569999999999999,3.687,2
6.58,3.687,2
6.59,3.687,2
6.6,3.687,2
6.609999999999999,3.687,2
6.619999999999999,3.687,2
6.63,3.687,2
6.64,3.687,2
6.6499999999999995,3.687,2
6.659999999999999,3.687,2
6.67,3.687,2
6.68,3.687,2
6.6899999999999995,3.687,2
6.699999999999999,3.687,2
6.709999999999999,3.687,2
6.72,3.687,2
6.7299999999999995,3.687,2
6.739999999999999,3.687,2
6.75,3.687,2
6.76,3.687,2
6.77,3.687,2
6.779999999999999,3.687,2
6.789999999999999,3.687,2
6.8,3.687,2
6.81,3.687,2
6.819999999999999,3.687,2
6.83,3.687,2
6.84,3.687,2
6.85,3.687,2
6.859999999999999,3.687,2
6.869999999999999,3.687,2
6.88,3.687,2
6.89,3.687,2
6.8999999999999995,3.687,2
6.909999999999999,3.687,2
6.92,3.687,2
6.93,3.687,2
6.9399999999999995,3.687,2
6.949999999999999,3.687,2
6.959999999999999,3.687,2
6.97,3.687,2
6.9799999999999995,3.687,2
6.989999999999999,3.687,2
7.0,3.687,2
7.01,3.687,2
7.02,3.687,2
7.029999999999999,3.687,2
7.039999999999999,3.687,2
7.049999999999999,3.687,2
7.06,3.687,2
7.069999999999999,3.687,2
7.08,3.687,2
7.09,3.687,2
7.1,3.687,2
7.109999999999999,3.687,2
7.119999999999999,3.687,2
7.129999999999999,3.687,2
7.14,3.687,2
7.1499999999999995,3.687,2
7.16,3.687,2
7.17,3.687,2
7.18,3.687,2
7.1899999999999995,3.687,2
7.199999999999999,3.687,2
7.209999999999999,3.687,2
7.22,3.687,2
7.2299999999999995,3.687,2
7.24,3.687,2
7.25,3.687,2
7.26,3.687,2
7.27,3.687,2
7.279999999999999,3.687,2
7.289999999999999,3.687,2
7.299999999999999,3.687,2
7.31,3.687,2
7.319999999999999,3.687,2
7.33,3.687,2
7.34,3.687,2
7.35,3.687,2
7.359999999999999,3.687,2
7.369999999999999,3.687,2
7.379999999999999,3.687,2
7.39,3.687,2
7.3999999999999995,3.687,2
7.41,3.687,2
7.42,3.687,2
7.43,3.687,2
7.4399999999999995,3.687,2
7.449999999999999,3.687,2
7.459999999999999,3.687,2
7.47,3.687,2
7.4799999999999995,3.687,2
7.49,3.687,2
7.5,3.687,2
7.51,3.687,2
7.52,3.687,2
7.529999999999999,3.687,2
7.539999999999999,3.687,2
7.549999999999999,3.687,2
7.56,3.687,2
7.569999999999999,3.687,2
7.58,3.687,2
7.59,3.687,2
7.6,3.687,2
7.609999999999999,3.687,2
7.619999999999999,3.687,2
7.629999999999999,3.687,2
7.64,3.687,2
7.6499999999999995,3.687,2
7.66,3.687,2
7.67,3.687,2
7.68,3.687,2
7.6899999999999995,3.687,2
7.699999999999999,3.687,2
7.709999999999999,3.687,2
7.72,3.687,2
7.7299999999999995,3.687,2
7.74,3.687,2
7.75,3.687,2
7.76,3.687,2
7.77,3.687,2
7.779999999999999,3.687,2
7.789999999999999,3.687,2
7.799999999999999,3.687,2
7.81,3.687,2
7.819999999999999,3.687,2
7.83,3.687,2
7.84,3.687,2
7.85,3.687,2
7.859999999999999,3.687,2
7.869999999999999,3.687,2
7.879999999999999,3.687,2
7.89,3.687,2
7.8999999999999995,3.687,2
7.91,3.687,2
7.92,3.687,2
7.93,3.687,2
7.9399999999999995,3.687,2
7.949999999999999,3.687,2
7.959999999999999,3.687,2
7.97,3.687,2
7.9799999999999995,3.687,2
7.99,3.687,2
8.0,3.687,2
8.01,3.687,2
8.02,3.687,2
8.04,-2.605e-07,2
8.049999999999999,-2.322e-07,2
8.059999999999999,-2.217e-07,2
8.069999999999999,-2.092e-07,2
8.08,-1.903e-07,2
8.09,-1.809e-07,2
8.1,-1.672e-07,2
8.11,-1.683e-07,2
8.12,-1.546e-07,2
8.129999999999999,-1.494e-07,2
8.139999999999999,-1.442e-07,2
8.149999999999999,-1.295e-07,2
8.16,-1.347e-07,2
8.17,-1.274e-07,2
8.18,-1.253e-07,2
8.19,-1.2e-07,2
8.2,-1.085e-07,2
8.209999999999999,-1.075e-07,2
8.219999999999999,-1.085e-07,2
8.229999999999999,-9.384e-08,2
8.24,-9.594e-08,2
8.25,-8.545e-08,2
8.26,-8.965e-08,2
8.27,-8.86e-08,2
8.28,-9.069e-08,2
8.29,-8.965e-08,2
8.299999999999999,-9.069e-08,2
8.309999999999999,-8.65e-08,2
8.319999999999999,-8.965e-08,2
8.33,-8.126e-08,2
8.34,-8.545e-08,2
8.35,-7.497e-08,2
8.36,-8.336e-08,2
8.37,-8.336e-08,2
8.379999999999999,-8.336e-08,2
8.389999999999999,-7.392e-08,2
8.399999999999999,-7.497e-08,2
8.41,-7.182e-08,2
8.42,-6.553e-08,2
8.43,-5.924e-08,2
8.44,-6.658e-08,2
8.45,-5.715e-08,2
8.459999999999999,-6.658e-08,2
8.469999999999999,-7.287e-08,2
8.479999999999999,-6.134e-08,2
8.49,-6.029e-08,2
8.5,-6.029e-08,2
8.51,-5.82e-08,2
8.52,-6.344e-08,2
8.53,-5.295e-08,2
8.54,-6.658e-08,2
8.549999999999999,-6.553e-08,2
8.559999999999999,-5.715e-08,2
8.57,-5.295e-08,2
8.58,-5.715e-08,2
8.59,-6.553e-08,2
8.6,-7.287e-08,2
8.61,-7.182e-08,2
8.62,-6.553e-08,2
8.629999999999999,-5.715e-08,2
8.639999999999999,-5.715e-08,2
8.649999999999999,-5.4e-08,2
8.66,-7.602e-08,2
8.67,-5.924e-08,2
8.68,-5.924e-08,2
8.69,-6.029e-08,2
8.7,-5.82e-08,2
8.709999999999999,-5.4e-08,2
8.719999999999999,-6.553e-08,2
8.729999999999999,-4.981e-08,2
8.739999999999998,-4.876e-08,2
8.75,-4.457e-08,2
8.76,-5.715e-08,2
8.77,-5.4e-08,2
8.78,-5.4e-08,2
8.79,-4.981e-08,2
8.799999999999999,-5.505e-08,2
8.809999999999999,-4.771e-08,2
8.82,-4.981e-08,2
8.83,-5.715e-08,2
8.84,-4.981e-08,2
8.85,-5.924e-08,2
8.86,-6.658e-08,2
8.87,-5.82e-08,2
8.879999999999999,-5.715e-08,2
8.889999999999999,-5.924e-08,2
8.899999999999999,-5.924e-08,2
8.91,-6.658e-08,2
8.92,-6.344e-08,2
8.93,-6.134e-08,2
8.94,-5.82e-08,2
8.95,-6.029e-08,2
8.959999999999999,-5.715e-08,2
8.969999999999999,-5.82e-08,2
8.979999999999999,-5.295e-08,2
8.989999999999998,-4.562e-08,2
9.0,-6.239e-08,2
9.01,-5.505e-08,2
9.02,-4.981e-08,2
9.03,-4.981e-08,2
9.04,-6.239e-08,2
9.049999999999999,-5.61e-08,2
9.059999999999999,-5.295e-08,2
9.07,-5.4e-08,2
9.08,-5.924e-08,2
9.09,-6.239e-08,2
9.1,-6.973e-08,2
9.11,-5.191e-08,2
9.12,-5.61e-08,2
9.129999999999999,-5.4e-08,2
9.139999999999999,-5.61e-08,2
9.149999999999999,-5.505e-08,2
9.16,-6.553e-08,2
9.17,-6.029e-08,2
9.18,-5.924e-08,2
9.19,-6.029e-08,2
9.2,-5.82e-08,2
9.209999999999999,-4.876e-08,2
9.219999999999999,-4.562e-08,2
9.229999999999999,-4.037e-08,2
9.239999999999998,-3.933e-08,2
9.25,-4.562e-08,2
9.26,-4.876e-08,2
9.27,-4.142e-08,2
9.28,-4.562e-08,2
9.29,-4.981e-08,2
9.299999999999999,-4.457e-08,2
9.309999999999999,-4.771e-08,2
9.32,-4.562e-08,2
9.33,-4.247e-08,2
9.34,-4.562e-08,2
9.35,-4.352e-08,2
9.36,-4.876e-08,2
9.37,-3.513e-08,2
9.379999999999999,-4.981e-08,2
9.389999999999999,-3.933e-08,2
9.399999999999999,-4.666e-08,2
9.41,-3.723e-08,2
9.42,-4.352e-08,2
9.43,-4.562e-08,2
9.44,-4.666e-08,2
9.45,-3.828e-08,2
